Index,ID,Title,Average Score,Standard Deviation,Individual Scores
1075,EGRDoPU0Lq,Fast Explanation of RBF-Kernel SVM Models Using Activation Patterns,6.0,1.41,5-6-5-8
1076,Q1u25ahSuy,SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression,6.0,1.41,5-6-8-5
1077,NDkpxG94sF,V-DETR: DETR with Vertex Relative Position Encoding for 3D Object Detection,6.0,1.41,5-8-5-6
1078,42lcaojZug,Neural Rate Control for Learned Video Compression,6.0,1.41,5-5-6-8
1079,am9IxubLKV,Convolutions Through the Lens of Tensor Networks,6.0,1.41,6-5-8-5
1080,pNkOx3IVWI,UltraFeedback: Boosting Language Models with High-quality Feedback,6.0,1.41,5-6-5-8
1081,qH9nrMNTIW,Protein-Ligand Interaction Prior for Binding-aware 3D Molecule Diffusion Models,6.0,1.41,5-8-5-6
1082,pPJTQYOpNI,Imitation Learning from Observation with Automatic Discount Scheduling,6.0,1.41,5-8-5-6
1083,OuV9ZrkQlc,ImagenHub: Standardizing the evaluation of conditional image generation models,6.0,1.41,5-8-6-5
1084,5h0qf7IBZZ,MiniLLM: Knowledge Distillation of Large Language Models,6.0,1.41,6-5-8-5
1085,Vw24wtSddM,Tree Cross Attention,6.0,1.41,6-8-5-5
1086,92KV9xAMhF,"On gauge freedom, conservativity and intrinsic dimensionality estimation in diffusion models",6.0,1.41,6-8-5-5
1087,EanCFCwAjM,Cameras as Rays: Sparse-view Pose Estimation via Ray Diffusion,6.0,1.41,6-8-5-5
1088,XlkN11Xj6J,Adding 3D Geometry Control to Diffusion Models,6.0,1.41,8-6-5-5
1089,GqI4fTVUXC,On the Disconnect Between Theory and Practice of Overparametrized Neural Networks,6.0,1.41,6-8-5-5
1090,nBCuRzjqK7,Self-Supervised Contrastive Forecasting,6.0,1.41,8-6-5-5
1091,UHdd6EUAy7,Noise-Aware Algorithm for Heterogeneous Differentially Private Federated Learning,6.0,1.41,5-5-6-8
1092,uIKZSStON3,In-context Exploration-Exploitation for Reinforcement Learning,6.0,1.41,8-5-6-5
1093,nanyAujl6e,Out-of-Distribution Detection with Negative Prompts,6.0,1.41,5-8-6-5
1094,GWSIo2MzuH,Rethinking Information-theoretic Generalization: Loss Entropy Induced PAC Bounds,6.0,1.41,6-5-5-8
1095,MNyOI3C7YB,SEABO: A Simple Search-Based Method for Offline Imitation Learning,6.0,1.41,5-8-6-5
1096,qCyhvr0GG8,VONET: ADVANCING UNSUPERVISED VIDEO OBJECT LEARNING,6.0,1.41,5-6-8-5
1097,ARFRZh6pzI,Tuning-Free Accountable Intervention for LLM Deployment - A Metacognitive Approach,6.0,1.41,5-6-8-5
1098,HXjXPQU3yJ,Prior Mismatch and Adaptation in PnP-ADMM with a Nonconvex Convergence Analysis,6.0,1.41,6-5-5-8
1099,89XNDtqhpL,MatFormer: Nested Transformer for Elastic Inference,6.0,1.41,5-6-5-8
1100,XyB4VvF01X,Graph2Tac: Learning hierarchical representations of math concepts in theorem proving,6.0,1.41,8-5-6-5
1101,eBeECjacpw,PORF: POSE RESIDUAL FIELD FOR ACCURATE NEURAL SURFACE RECONSTRUCTION,6.0,1.41,5-8-5-6
1102,28L2FCtMWq,Ground-A-Video: Zero-shot Grounded Video Editing using Text-to-image Diffusion Models,6.0,1.41,5-8-6-5
1103,70IgE3tRbu,Continuous Invariance Learning,6.0,1.41,5-8-5-6
1104,jFa5KESW65,IRAD: Implicit Representation-driven Image Resampling against Adversarial Attacks,6.0,1.41,8-5-6-5
1105,8QfK9Dq4q0,Class Incremental Learning via Likelihood Ratio Based Task Prediction,6.0,1.41,6-5-8-5
1106,9w3iw8wDuE,Entropy is not Enough for Test-time Adaptation: From the Perspective of Disentangled Factors,6.0,1.41,8-6-5-5
1107,1jbh2e0b2K,Towards Few-Shot Adaptation of Foundation Models via Multitask Finetuning,6.0,1.41,5-5-8-6
1108,yzRXdhk2he,Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching,6.0,1.41,6-5-5-8
1109,oZDJKTlOUe,Analyzing and Mitigating Object Hallucination in Large Vision-Language Models,6.0,1.41,5-6-8-5
1110,VmGRoNDQgJ,Influencer Backdoor Attack on Semantic Segmentation,6.0,1.41,8-5-5-6
1111,bQWE2UqXmf,Detecting  Generated Text via Rewriting,6.0,1.41,5-8-6-5
1112,c0kTH3HVLz,A Light-robust Reconstruction Method for Spike Camera,6.0,1.41,5-6-8-5
1113,6iwg437CZs,STanHop: Sparse Tandem Hopfield Model for Memory-Enhanced Time Series Prediction,6.0,1.41,8-5-6-5
1114,rGFrRMBbOq,Progressive Fourier Neural Representation for Sequential Video Compilation,6.0,1.41,8-5-6-5
1115,J9Vwp7TiE5,SegGen: Supercharging Segmentation Models with Text2Mask and Mask2Img Synthesis,6.0,1.41,5-5-8-6
1116,UnUwSIgK5W,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,6.0,1.41,6-5-5-8
1117,Agyicd577r,BatchPrompt: Accomplish more with less,6.0,1.41,5-5-8-6
1118,OZitfSXpdT,Less or More From Teacher: Exploiting Trilateral Geometry For Knowledge Distillation,6.0,1.41,5-5-8-6
1119,RthOl4jHw5,Meta-Evolve: Continuous Robot Evolution for One-to-many Policy Transfer,6.0,1.41,5-8-6-5
1120,C61sk5LsK6,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,6.0,1.41,8-5-5-6
1121,CIj1CVbkpr,Online Stabilization of Spiking Neural Networks,6.0,1.41,5-8-6-5
1122,aA33A70IO6,Gaining Wisdom from Setbacks: Aligning Large Language Models via Mistake Analysis,6.0,1.41,5-6-5-8
1123,sBQwvucduK,MagicDrive: Street View Generation with Diverse 3D Geometry Control,6.0,1.41,5-5-8-6
1124,5sjxMwWmk8,Robust Angular Synchronization via Directed Graph Neural Networks,6.0,1.41,5-5-6-8
1125,mvMI3N4AvD,Boosting Prompting Mechanisms for Zero-Shot Speech Synthesis,6.0,1.41,8-5-6-5
1126,kQwULZhiSF,Unsupervised Discovery of Object-Centric Neural Fields,6.0,1.41,5-6-5-8
1127,Ny150AblPu,EXPOSING TEXT-IMAGE INCONSISTENCY USING DIFFUSION MODELS,6.0,1.41,8-5-5-6
1128,i8PjQT3Uig,Locality Sensitive Sparse Encoding for Learning World Models Online,6.0,1.73,5-8-5
1129,FHqAzWl2wE,Multimarginal Generative Modeling with Stochastic Interpolants,6.0,1.73,8-5-5
1130,3K3s9qxSn7,On Representation Complexity of Model-based and Model-free Reinforcement Learning,6.0,1.73,8-5-5
1131,pPjZIOuQuF,RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,6.0,1.73,5-8-5
1132,jH67LHVOIO,Lightweight Language Model Calibration for Open-ended Question Answering with Varied Answer Lengths,6.0,1.73,5-5-8
1133,Jf5gplvglq,Skill-Mix: a Flexible and Expandable Family of Evaluations for AI Models,6.0,1.73,5-8-5
1134,ITq4ZRUT4a,Davidsonian Scene Graph: Improving Reliability in Fine-grained Evaluation for Text-Image Generation,6.0,1.73,5-8-5
1135,pmweVpJ229,Tractable MCMC for Private Learning with Pure and Gaussian Differential Privacy,6.0,1.73,5-5-8
1136,UHjE5v5MB7,To Grok or not to Grok: Disentangling Generalization and Memorization on Corrupted Algorithmic Datasets,6.0,1.73,5-8-5
1137,h7DGnWGeos,Active Retrosynthetic Planning Aware of Route Quality,6.0,1.73,5-8-5
1138,PXXuLvIH5r,From Matching to Mixing: A Graph Interpolation Approach for SAT Instance Generation,6.0,1.73,8-5-5
1139,BkvdAYhyqm,Explaining black box text modules in natural language with language models,6.0,1.73,5-8-5
1140,w8JizpeY4y,Time Series Continuous Modeling for Imputation and Forecasting with Implicit Neural Representations,6.0,1.73,5-5-8
1141,lKxL5zkssv,CLIP-MUSED: CLIP-Guided Multi-Subject Visual Neural Information Semantic,6.0,1.73,8-5-5
1142,2gwo9cjOEz,Neural Tangent Kernels Motivate Graph Neural Networks with Cross-Covariance Graphs,6.0,1.73,8-5-5
1143,nUBLhhVM1l,Tight Rates in Supervised Outlier Transfer Learning,6.0,1.73,8-5-5
1144,gyfXuRfxW2,"Learning Polynomial Problems with $SL(2, \mathbb{R})$-Equivariance",6.0,1.73,5-8-5
1145,0JsRZEGZ7L,From Latent Graph to Latent Topology Inference: Differentiable Cell Complex Module,6.0,1.73,5-8-5
1146,5liV2xUdJL,Time-Efficient Reinforcement Learning with Stochastic Stateful Policies,6.0,1.73,5-8-5
1147,WR9M6AA4LT,Fit Like You Sample: Sample-Efficient Generalized Score Matching from Fast Mixing Diffusions,6.0,1.73,8-5-5
1148,ee4QXtVDVm,Subword embedding from bytes against embedding-based attacks,6.0,1.73,5-8-5
1149,WOiOzHG2zD,TextField3D: Towards Enhancing Open-Vocabulary 3D Generation with Noisy Text Fields,6.0,1.73,8-5-5
1150,cUSNs8nGaV,GlucoBench: Curated List of Continuous Glucose Monitoring Datasets with Prediction Benchmarks,6.0,1.73,8-5-5
1151,KSjPaXtxP8,Memorization in Self-Supervised Learning Improves Downstream Generalization,6.0,1.73,8-5-5
1152,TKnzPdyeJu,Structural Inference with Dynamics Encoding and Partial Correlation Coefficients,6.0,1.73,5-5-8
1153,B21c9hT1D7,High-dimensional robust regression under heavy-tailed data: Asymptotics and Universality,6.0,1.73,5-5-8
1154,47hDbAMLbc,OPTIMAL ROBUST MEMORIZATION WITH RELU NEURAL NETWORKS,6.0,1.73,8-5-5
1155,iAYIRHOYy8,Neural Contractive Dynamical Systems,6.0,1.73,5-5-8
1156,phBS6YpTzC,Benchmarking and Improving Generator-Validator Consistency of Language Models,6.0,1.73,5-8-5
1157,o7x0XVlCpX,MaGIC: Multi-modality Guided Image Completion,6.0,1.73,5-5-8
1158,BtT6o5tfHu,Solving Diffusion ODEs with Optimal Boundary Conditions for Better Image Super-Resolution,6.0,1.73,5-8-5
1159,DS5qRs0tQz,Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection,6.0,1.73,5-8-5
1160,qo21ZlfNu6,Teach LLMs to Phish: Stealing Private Information from Language Models,6.0,1.73,5-8-5
1161,IL71c1z7et,Fleet Policy Learning via Weight Merging and An Application to Robotic Tool-Use,6.0,1.73,8-5-5
1162,plebgsdiiV,Kernel Metric Learning for In-Sample Off-Policy Evaluation of Deterministic RL Policies,6.0,1.73,8-5-5
1163,BWSTBrmRqD,DOMINO: A Dual-System for Multi-step Visual Language Reasoning,6.0,1.73,8-5-5
1164,ft1mr3WlGM,Improved Probabilistic Image-Text Representations,6.0,1.73,5-8-5
1165,LbkIwjmua3,Vulnerable Region Discovery through Diverse Adversarial Examples,6.0,1.73,5-8-5
1166,i7LCsDMcZ4,EventRPG: Event Data Augmentation with Relevance Propagation Guidance,6.0,1.73,8-5-5
1167,7pWRLDBAtc,Heterogeneous Personalized Federated Learning by Local-Global Updates Mixing via Convergence Rate,6.0,1.73,8-5-5
1168,cgCKm5DOnu,ROSA: Random Orthogonal Subspace Adaptation,6.0,1.73,5-5-8
1169,pUIANwOLBN,Behind the Myth of Exploration in Policy Gradients,6.0,1.73,8-5-5
1170,c7DND1iIgb,Democratizing Fine-grained Visual Recognition with Large Language Models,6.0,1.73,8-5-5
1171,1RrOtCmuKr,Network Memory Footprint Compression Through Jointly Learnable Codebooks and Mappings,6.0,1.73,5-8-5
1172,ub7YxVUQhQ,Vision-based Discovery of Nonlinear Dynamics for 3D Moving Target,6.0,1.73,5-8-5
1173,cH3oufN8Pl,Output-Domain Focused Inductive Bias on Latent Feature Clusters in Visual Classification,6.0,1.73,5-8-5
1174,A2mRcRyGdl,Semantic Flow: Learning Semantic Fields of Dynamic Scenes from Monocular Videos,6.0,1.73,5-8-5
1175,8wFNfTxM6i,LegoNet: Piecing Together and Breaking Apart Sub-Networks for Scalable Multi-task Learning,6.0,1.73,8-5-5
1176,m3ch3kJL7q,Sentence-level Prompts Benefit Composed Image Retrieval,6.0,1.73,5-8-5
1177,jLnygpRFYm,Predicting masked tokens in stochastic locations improves masked image modeling,6.0,1.73,5-8-5
1178,wE1I9IGqeH,Continual Learning in Open-vocabulary Classification with Complementary Memory Systems,6.0,1.73,5-5-8
1179,0Nui91LBQS,Planting a SEED of Vision in Large Language Model,6.0,1.73,5-5-8
1180,JLulsRraDc,Bridging the Gap Between Foundation Models and Heterogeneous Federated Learning,6.0,1.73,8-5-5
1181,3jXCF5dNpC,Re-Reading Improves Reasoning in Language Models,6.0,1.73,5-5-8
1182,etGEIggjWS,Sub-token ViT Embedding via Stochastic Resonance Transformers,6.0,1.73,5-5-8
1183,OCqyFVFNeF,Defining and extracting generalizable interaction primitives from DNNs,6.0,1.73,5-5-8
1184,zMR2dTNdft,Symmetry Leads to Structured Constraint of Learning,6.0,1.73,5-8-5
1185,You77eOFDv,RefConv: Re-parameterized Refocusing Convolution for Powerful ConvNets,6.0,1.73,5-5-8
1186,BteuUysuXX,Inducing High Energy-Latency of Large Vision-Language Models with Verbose Images,6.0,1.73,8-5-5
1187,wISvONp3Kq,Learning No-Regret Sparse Generalized Linear Models with Varying Observation(s),6.0,1.73,8-5-5
1188,4N97bz1sP6,Weakly-supervised Audio Separation via Bi-modal Semantic Similarity,6.0,1.73,5-5-8
1189,w4rODxXsmM,Reverse Forward Curriculum Learning for Extreme Sample and Demo Efficiency,6.0,1.73,5-8-5
1190,FRCHDhbxZF,ZeroFlow: Scalable Scene Flow via Distillation,6.0,1.73,8-5-5
1191,p34fRKp8qA,Lie Group Decompositions for Equivariant Neural Networks,6.0,1.9,8-8-6-5-3-6
1192,ZO5cn4IfaN,Efficient Distributed Training with Full Communication-Computation Overlap,6.0,1.9,8-6-5-6-3-8
1193,BoMvv7ypDF,Recursive Score Estimation Accelerates Diffusion-Based Monte Carlo,6.0,2.12,5-6-8-3-8
1194,Zc2aIcucwc,Towards Foundational Models for Molecular Learning on Large-Scale Multi-Task Datasets,6.0,2.12,3-6-8-5-8
1195,17pVDnpwwl,Feature Learning in Infinite Depth Neural Networks,6.0,2.12,8-3-5-8-6
1196,LYS3RhIYCq,Scaling Laws for Imitation Learning in Single-Agent Games,6.0,2.12,3-8-6-5-8
1197,ikmuHqugN7,Scaling Convex Neural Networks with Burer-Monteiro Factorization,6.0,2.12,8-6-3-5-8
1198,zAdUB0aCTQ,AgentBench: Evaluating LLMs as Agents,6.0,2.12,3-8-6-8-5
1199,tQYsKBTTaV,LATEC — A benchmark for large-scale attribution & attention evaluation in computer vision,6.0,2.12,8-5-8-6-3
1200,hbHwZYqk9T,FedP3: Federated Personalized and Privacy-friendly Network Pruning under Model Heterogeneity,6.0,2.12,8-5-6-3-8
1201,eUgS9Ig8JG,SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,6.0,2.45,8-8-5-3
1202,My7lkRNnL9,Forward Learning with Top-Down Feedback: Empirical and Analytical Characterization,6.0,2.45,8-8-3-5
1203,LojXXo2xaf,GPT Can Solve Mathematical Problems Without a Calculator,6.0,2.45,5-8-3-8
1204,OsGUnYOzii,Learning From Simplicial Data Based on Random Walks and 1D Convolutions,6.0,2.45,5-8-3-8
1205,lhZEodF8Dn,Efficient Denoising Diffusion via Probabilistic Masking,6.0,2.45,3-8-8-5
1206,GN921JHCRw,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,6.0,2.45,5-3-8-8
1207,yroyhkhWS6,A Quadratic Synchronization Rule for Distributed Deep Learning,6.0,2.45,8-5-3-8
1208,Rry1SeSOQL,COMPARATOR: Reference-free machine translation evaluation by inter-system comparison,6.0,2.45,3-8-8-5
1209,kVj2uyytyg,Unsupervised Federated Graph Matching with Graphlet Feature Extraction and Separate Trust Region,6.0,2.45,3-8-8-5
1210,jenyYQzue1,MuSR: Testing the Limits of Chain-of-thought with Multistep Soft Reasoning,6.0,2.45,8-3-8-5
1211,D4NJFfrqoq,Optimistic Bayesian Optimization with Unknown Constraints,6.0,2.45,8-3-8-5
1212,tEAF9LBdgu,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,6.0,2.45,8-8-3-5
1213,hCrFG9cyuC,PolyVoice: Language Models for Speech to Speech Translation,6.0,2.45,8-3-5-8
1214,4Ay23yeuz0,Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space,6.0,2.45,3-8-5-8
1215,AY9KyTGcnk,Adaptive Regret for Bandits Made Possible: Two Queries Suffice,6.0,2.45,8-3-5-8
1216,ta2ctBXj1J,CityGPT: Generative Transformer for City Layout of Arbitrary Building Shape,6.0,2.45,3-8-5-8
1217,Yol6nUVIJD,ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,6.0,2.45,5-8-8-3
1218,6tqgL8VluV,Towards Establishing Guaranteed Error for Learned Database Operations,6.0,2.45,8-5-8-3
1219,vt5mnLVIVo,Grokking as the transition from lazy to rich training dynamics,6.0,2.45,5-3-8-8
1220,5EtSvYUU0v,Connecting NTK and NNGP: A Unified Theoretical Framework for Neural Network Learning Dynamics in the Kernel Regime,6.0,2.45,5-8-3-8
1221,up6hr4hIQH,Towards Robust Fidelity for Evaluating Explainability of Graph Neural Networks,6.0,2.45,3-5-8-8
1222,vy42bYs1Wo,Off-Policy Primal-Dual Safe Reinforcement Learning,6.0,2.45,8-8-3-5
1223,yV6fD7LYkF,ValUES: A Framework for Systematic Validation of Uncertainty Estimation in Semantic Segmentation,6.0,2.45,8-3-5-8
1224,OKf6JtXtoy,MAP IT to Visualize Representations,6.0,2.45,8-8-5-3
1225,TzAJbTClAz,FFB: A Fair Fairness Benchmark for In-Processing Group Fairness Methods,6.0,2.45,5-8-3-8
1226,ALVwQjZRS8,Coeditor: Leveraging Repo-level Diffs for Code Auto-editing,6.0,2.45,3-8-8-5
1227,sVEu295o70,Understanding when Dynamics-Invariant Data Augmentations Benefit Model-free Reinforcement Learning Updates,6.0,2.45,5-3-8-8
1228,aaBnFAyW9O,Soft Mixture Denoising: Beyond the Expressive Bottleneck of Diffusion Models,6.0,2.45,3-5-8-8
1229,6jBNQ8nSxA,Just-in-Time Security Patch Detection - LLM At the Rescue for Data Augmentation,6.0,2.45,8-3-5-8
1230,dpcVXiMlcv,Object-Aware Inversion and Reassembly for Image Editing,6.0,2.45,5-8-3-8
1231,jNR6s6OSBT,ASID: Active Exploration for System Identification and Reconstruction in Robotic Manipulation,6.0,2.45,8-3-8-5
1232,IkmD3fKBPQ,Large Language Models Cannot Self-Correct Reasoning Yet,6.0,2.45,5-3-8-8
1233,dGH4kHFKFj,GenCorres: Consistent Shape Matching via Coupled Implicit-Explicit Shape Generative Models,6.0,2.45,8-8-3-5
1234,zlkXLb3wpF,Fast and unified path gradient estimators for normalizing flows,6.0,2.45,8-8-5-3
1235,GW4j4n2cjH,Duolando: Follower GPT with Off-Policy Reinforcement Learning for Dance Accompaniment,6.0,2.45,5-8-3-8
1236,56jIlazr6a,Unified Uncertainty Estimation,6.0,2.45,8-3-5-8
1237,FKksTayvGo,Denoising Diffusion Bridge Models,6.0,2.45,8-3-8-5
1238,DzxaRFVsgC,GPT4RoI: Instruction Tuning Large Language Model on Region-of-Interest,6.0,2.45,5-3-8-8
1239,J7ioefqDPw,Rethinking Label Poisoning for GNNs: Pitfalls and Attacks,6.0,2.45,8-5-8-3
1240,ms0VgzSGF2,Bridging State and History Representations: Understanding Self-Predictive RL,6.0,2.45,3-8-5-8
1241,rulxyXjf46,Conformal Prediction via Regression-as-Classification,6.0,2.45,5-8-8-3
1242,DO2WFXU1Be,PINNsFormer: A Transformer-Based Framework For Physics-Informed Neural Networks,6.0,2.45,8-8-5-3
1243,mQYHXUUTkU,BrainSCUBA: Fine-Grained Natural Language Captions of Visual Cortex Selectivity,6.0,2.45,3-8-5-8
1244,sSyytcewxe,Divide and not forget: Ensemble of  selectively trained experts  in Continual Learning,6.0,2.45,8-8-5-3
1245,aIok3ZD9to,LLMCarbon: Modeling the End-to-End Carbon Footprint of Large Language Models,6.0,2.55,6-5-6-3-10
1246,KTtEICH4TO,CORN: Contact-based Object Representation for Nonprehensile Manipulation of General Unseen Objects,6.0,2.94,10-3-5-6
1247,idpV2AqusC,Improving SAM Requires Rethinking its Optimization Formulation,6.0,2.94,10-6-5-3
1248,i6JcQpiFdR,Guaranteed Trust Region Optimization via Two-Phase KL Penalization,6.0,2.94,3-6-10-5
1249,t3gOYtv1xV,Carrying over Algorithm in Transformers,6.0,2.94,10-5-6-3
1250,l1U6sEgYkb,DV-3DLane: End-to-end Multi-modal 3D Lane Detection with Dual-view Representation,6.0,2.94,5-6-3-10
1251,TgeVptDYAt,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,6.0,2.94,3-10-6-5
1252,hLZQTFGToA,Contrastive Learning is Spectral Clustering on Similarity Graph,6.0,2.94,10-3-5-6
1253,tplXNcHZs1,Diffusion Posterior Sampling for Linear Inverse Problem Solving: A Filtering Perspective,6.0,2.94,3-6-5-10
1254,KJYIgEteHX,Robustness of Deep Learning for Accelerated MRI: Benefits of Diverse Training Data,6.0,3.56,8-10-3-3
1255,7QI7tVrh2c,Adversarial Adaptive Sampling: Unify PINN and Optimal Transport for the Approximation of PDEs,6.0,3.56,3-3-10-8
1256,6hzNVNSz8O,No learning rates needed: Introducing SaLSa - Stable Armijo Line Search Adaptation,6.0,3.56,3-10-3-8
1257,FBDtqWXfuq,Exploring Modality Collaboration with Modality-Agnostic Transformers in Multi-Modal Federated Learning,6.0,3.56,3-8-3-10
1258,JO7k0SJ5V6,Scaling Laws of RoPE-based Extrapolation,6.0,3.61,10-3-5
1259,QeemQCJAdQ,Deep Reinforcement Learning for Efficient and Fair Allocation of Health Care Resources,6.0,3.61,5-10-3
1260,wFWuX1Fhtj,On the Hardness of Constrained Cooperative Multi-Agent Reinforcement Learning,5.833333333333333,0.41,6-6-6-6-6-5
1261,y4bvKRvUz5,KernelWarehouse: Rethinking the Design of Dynamic Convolution,5.833333333333333,1.17,5-6-8-5-5-6
1262,u3dX2CEIZb,Scaling physics-informed hard constraints with mixture-of-experts,5.8,0.45,6-6-5-6-6
1263,c56TWtYp0W,GAFormer: Enhancing Timeseries Transformers Through Group-Aware Embeddings,5.8,0.45,6-5-6-6-6
1264,usrChqw6yK,LLMs Meet VLMs: Boost Open Vocabulary Object Detection with Fine-grained Descriptors,5.8,0.45,6-6-5-6-6
1265,NddKiWtdUm,Training Socially Aligned Language Models on Simulated Social Interactions,5.8,0.45,5-6-6-6-6
1266,o7qhUMylLU,Sample-Efficient Multi-Agent RL: An Optimization Perspective,5.8,0.45,6-6-5-6-6
1267,8dkp41et6U,LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression,5.8,0.45,6-5-6-6-6
1268,w8Zo7jACq7,"Model-Free, Regret-Optimal Best Policy Identification in Online CMDPs",5.8,0.45,5-6-6-6-6
1269,lK2V2E2MNv,Bridging Vision and Language Spaces with Assignment Prediction,5.8,1.3,8-5-6-5-5
1270,fj2E5OcLFn,Stochastic Gradient Descent for Gaussian Processes Done Right,5.8,1.3,5-5-6-5-8
1271,0ZUKLCxwBo,A simple and interpretable model of grokking modular arithmetic tasks,5.8,1.3,5-5-6-8-5
1272,KQe9tHd0k8,Learning from Label Proportions: Bootstrapping Supervised Learners via Belief Propagation,5.8,1.3,5-8-5-6-5
1273,x5LvBK43wg,PROGRAM: PROtotype GRAph Model based Pseudo-Label Learning for Test-Time Adaptation,5.8,1.3,8-5-6-5-5
1274,FDb2JQZsFH,Attention-based Iterative Decomposition for Tensor Product Representation,5.8,1.3,5-5-5-6-8
1275,Z9AZsU1Tju,Neuro-Inspired Information-Theoretic Hierarchical Perception for Multimodal Learning,5.8,1.3,8-5-5-5-6
1276,UfBIxpTK10,The Discovery of Binding Modes Requires Rethinking Docking Generalization,5.8,1.3,5-8-5-5-6
1277,j20nMRUWK9,Adaptive Knowledge Transfer for Generalized Category Discovery,5.8,1.3,8-5-6-5-5
1278,4vPVBh3fhz,PAC Prediction Sets Under Label Shift,5.8,1.3,6-5-5-5-8
1279,Djw0XhjHZb,Simplicial Representation Learning with Neural $k$-Forms,5.8,1.3,5-8-5-5-6
1280,HFtrXBfNru,Temporal Generalization Estimation in Evolving Graphs,5.8,1.3,6-5-5-8-5
1281,Y9t7MqZtCR,Sparse Weight Averaging with Multiple Particles for Iterative Magnitude Pruning,5.8,1.3,5-8-6-5-5
1282,sIcPMMhl9W,The Phase Transition Phenomenon of Shuffled Regression,5.8,1.3,6-5-5-5-8
1283,RRayv1ZPN3,TAIL: Task-specific Adapters for Imitation Learning with Large Pretrained Models,5.8,1.3,5-6-5-5-8
1284,pETSfWMUzy,RAIN: Your Language Models Can Align Themselves without Finetuning,5.8,1.3,5-8-5-6-5
1285,r2Ji0Bzd4g,Lightweight Image Super-Resolution via Flexible Meta Pruning,5.8,1.3,6-5-8-5-5
1286,UDbEpJojik,Unleashing the power of Neural Collapse for Transferability Estimation,5.8,1.3,8-5-6-5-5
1287,X7gqOBG8ow,Generalizing Denoising to Non-Equilibrium Structures Improves Equivariant Force Fields,5.8,1.3,5-5-5-6-8
1288,EpYnZpDpsQ,Self-supervised Representation Learning from Random Data Projectors,5.8,1.3,5-8-6-5-5
1289,1JPfHljXL4,"When, Why and How Much? Adaptive Learning Rate Scheduling by Refinement",5.8,1.3,8-5-5-6-5
1290,9rzEPbs4Wg,Improving Generalization and Safety of Deep Neural Networks with Masked Anchoring,5.8,1.79,6-3-6-8-6
1291,ctXZJLBbyb,Understanding Heterophily for Graph Neural Networks,5.8,1.79,8-6-3-6-6
1292,krx55l2A6G,Hiding in Plain Sight: Disguising Data Stealing Attacks in Federated Learning,5.8,1.79,6-6-6-8-3
1293,JSS9rKHySk,On the Role of General Function Approximation in Offline Reinforcement Learning,5.8,1.79,6-6-6-8-3
1294,E1NxN5QMOE,Enhancing Group Fairness in Online Settings Using Oblique Decision Forests,5.8,1.79,6-6-8-3-6
1295,WdhtdjoaVw,Functional Wasserstein Bridge Inference for Bayesian Deep Learning,5.8,1.79,8-6-6-6-3
1296,a2ljjXeDcE,iGraphMix: Input Graph Mixup Method for Node Classification,5.8,1.79,6-8-6-3-6
1297,ag3o2T51Ht,Circumventing Concept Erasure Methods For Text-To-Image Generative Models,5.8,1.79,6-3-6-6-8
1298,z8q8kBxC5H,Sharp results for NIEP and NMF,5.8,2.17,3-5-8-5-8
1299,WhZoCLRWYJ,Light Schrödinger Bridge,5.8,2.17,5-8-3-5-8
1300,qofh48zW3T,Distributional Distance Classifiers for Goal-Conditioned Reinforcement Learning,5.8,2.17,5-8-5-3-8
1301,fWk5Qx0exc,Last-Iterate Convergence Properties of Regret-Matching Algorithms in Games,5.8,2.17,5-3-5-8-8
1302,rTDyN8yajn,Octavius: Mitigating Task Interference in MLLMs via MoE,5.8,2.17,8-8-3-5-5
1303,Cu5wJa5LGO,LLCP: Learning Latent Causal Processes for Reasoning-based Video Question Answer,5.8,2.17,8-5-5-3-8
1304,Bpcgcr8E8Z,Fast-DetectGPT: Efficient Zero-Shot Detection of Machine-Generated Text via Conditional Probability Curvature,5.8,2.86,1-6-8-6-8
1305,jx6njBKH8E,Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships,5.75,0.5,6-6-5-6
1306,78iGZdqxYY,Mirage: Model-agnostic Graph Distillation for Graph Classification,5.75,0.5,5-6-6-6
1307,FMMF1a9ifL,Gradual Optimization Learning for Conformational Energy Minimization,5.75,0.5,6-5-6-6
1308,AyXIDfvYg8,Symmetric Neural-Collapse Representations with Supervised Contrastive Loss: The Impact of ReLU and Batching,5.75,0.5,6-5-6-6
1309,JiTVtCUOpS,Rethinking Channel Dependence for Multivariate Time Series Forecasting: Learning from Leading Indicators,5.75,0.5,6-6-5-6
